Success/Failure,File Path,Starting Confidence,Final Confidence,Iterations,SNR,Starting Class,Final Class,Queries
Failure,/data/urbansound8k/fold9/7063-6-0-0.wav,-0.9999999997793606,-0.16123539209365845,20,inf,gun_shot,gun_shot,200
Success,/data/urbansound8k/fold10/102857-5-0-22.wav,-0.9694043612107635,0.08240869641304016,1,0.20637553164806893,engine_idling,drilling,10
Success,/data/urbansound8k/fold9/189988-0-0-1.wav,-0.9771421104669571,0.07175447046756744,1,0.22536703938100944,air_conditioner,jackhammer,10
Success,/data/urbansound8k/fold9/180029-4-5-0.wav,-0.9999999999989585,0.39750364050269127,1,0.2486312828188576,drilling,gun_shot,10
Failure,/data/urbansound8k/fold10/162134-7-11-0.wav,-0.9999999972120941,-0.005180954933166504,20,inf,jackhammer,jackhammer,200
Success,/data/urbansound8k/fold10/189982-0-0-39.wav,-0.9876836235634983,0.06980787217617035,1,0.2320696187908421,air_conditioner,jackhammer,10
Success,/data/urbansound8k/fold9/159744-8-0-2.wav,-0.9999999999999974,0.17723612301051617,1,0.16952716480668995,siren,jackhammer,10
Success,/data/urbansound8k/fold9/145390-9-0-26.wav,-0.983810861594975,0.16574478894472122,1,0.139593554550831,street_music,jackhammer,10
Success,/data/urbansound8k/fold9/71082-4-0-0.wav,-0.9142036400735378,0.5134004168212414,1,0.39478774555899754,drilling,gun_shot,10
Success,/data/urbansound8k/fold9/159744-8-0-10.wav,-1.0,0.17868675850331783,1,0.15839791029830885,siren,jackhammer,10
Failure,/data/urbansound8k/fold10/162134-7-12-2.wav,-0.9999761553563076,-0.004635900259017944,20,inf,jackhammer,jackhammer,200
Success,/data/urbansound8k/fold9/94182-9-0-23.wav,-1.0,0.16598830744624138,1,0.23074259363516245,street_music,jackhammer,10
Success,/data/urbansound8k/fold9/155044-9-0-37.wav,-0.9999999860851494,0.16660072654485703,1,0.21792366779117306,street_music,jackhammer,10
Success,/data/urbansound8k/fold9/101729-0-0-36.wav,-1.0,0.07064301520586014,1,0.19815299861658708,air_conditioner,drilling,10
Success,/data/urbansound8k/fold10/118278-4-0-7.wav,-0.8243465274572372,0.009246766567230225,1,0.2768616809544288,drilling,jackhammer,10
Success,/data/urbansound8k/fold9/155044-9-0-15.wav,-1.0,0.1669207625091076,1,0.1790499906402473,street_music,jackhammer,10
